Transaction_ID,Employee_ID,Salary_Band,Monthly_Salary,Work_Mode,Date,Transaction_Type,Category,Amount,Merchant,Payment_Method,Expense_Type,Subscription,Time_of_Day
TXN000001,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-01,Income,Salary,51000.0,Company Payroll,Net Banking,N/A,No,Morning
TXN000002,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-01,Expense,Rent,11800.0,Property Management,Net Banking,Need,No,Morning
TXN000003,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-01,Expense,Medical,1280.0,MedPlus,Credit Card,Need,No,Afternoon
TXN000004,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-01,Expense,Food Delivery,1002.0,Swiggy,Credit Card,Want,No,Night
TXN000005,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-03,Expense,Commute,71.0,Auto Fare,Cash,Need,No,Morning
TXN000006,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-03,Expense,Dining Out,2180.0,Local Restaurant,Debit Card,Want,No,Night
TXN000007,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-05,Expense,Coffee & Snacks,75.0,Chai Point,UPI,Want,No,Afternoon
TXN000008,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-07,Expense,Commute,153.0,Namma Metro,UPI,Need,No,Morning
TXN000009,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-08,Expense,Dining Out,1359.0,Third Wave Coffee,UPI,Want,No,Evening
TXN000010,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-08,Expense,Commute,86.0,Auto Fare,Cash,Need,No,Evening
TXN000011,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-09,Expense,Commute,162.0,Uber,Debit Card,Need,No,Evening
TXN000012,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-10,Expense,Utilities,3875.0,Municipal Water,Debit Card,Need,No,Afternoon
TXN000013,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-11,Expense,Coffee & Snacks,73.0,Local Tea Stall,UPI,Want,No,Afternoon
TXN000014,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-12,Expense,Groceries,980.0,Zepto,Debit Card,Need,No,Morning
TXN000015,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-12,Expense,Food Delivery,749.0,Zomato,Credit Card,Want,No,Evening
TXN000016,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-15,Expense,Groceries,2141.0,Local Kirana Store,Cash,Need,No,Afternoon
TXN000017,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-17,Expense,Gym,1500.0,Local Gym Fitness,UPI,Want,Yes,Night
TXN000018,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-17,Expense,Coffee & Snacks,240.0,Starbucks,Cash,Want,No,Evening
TXN000019,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-17,Expense,Coffee & Snacks,108.0,Chai Point,Cash,Want,No,Morning
TXN000020,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-17,Expense,Groceries,1262.0,Blinkit,Debit Card,Need,No,Morning
TXN000021,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-17,Expense,Dining Out,1610.0,Barbeque Nation,Debit Card,Want,No,Evening
TXN000022,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-20,Expense,Commute,478.0,Auto Fare,Cash,Need,No,Morning
TXN000023,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-22,Expense,Food Delivery,1168.0,Zomato,Credit Card,Want,No,Night
TXN000024,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-25,Expense,Food Delivery,777.0,Swiggy,UPI,Want,No,Afternoon
TXN000025,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-25,Expense,Commute,446.0,Ola,Cash,Need,No,Morning
TXN000026,EMP1001,Band B (₹50k-80k),51000,Hybrid,2024-01-25,Expense,Food Delivery,621.0,Swiggy,UPI,Want,No,Afternoon
